Group,Item,Content,Spec,category,period,updatetime
自动切管机（48）,按键（开关、旋钮）操作是否正常,按键（开关、旋钮）操作是否正常,,1,1,2018/7/19 20:17
自动切管机（48）,机器表面是否清洁,机器表面是否清洁,,1,1,2018/7/19 20:17
自动切管机（48）,机器是否能够正常开机使用,机器是否能够正常开机使用,,1,1,2018/7/19 20:17
自动切管机（48）,计时器显示是否正常,计时器显示是否正常,,1,1,2018/7/19 20:17
自动切管机（48）,切刀刀口处是否有损伤,切刀刀口处是否有损伤,,1,1,2018/7/19 20:17
自动切管机（48）,旋转滚轴是否干净,旋转滚轴是否干净,,1,1,2018/7/19 20:17
自动点胶机（62）,电源线及电源指示灯是否正常,电源线及电源指示灯是否正常,,1,1,2018/7/19 20:17
自动点胶机（62）,各气管接口是否漏气,各气管接口是否漏气,,1,1,2018/7/19 20:17
自动点胶机（62）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
自动点胶机（62）,检查程序设定是否正常,检查程序设定是否正常,,1,1,2018/7/19 20:17
自动点胶机（62）,检查气压是什否在0.5Mpa~0.7Mpa,检查气压是什否在0.5Mpa~0.7Mpa,,1,1,2018/7/19 20:17
自动点胶机（62）,检查手动出胶是否正常,检查手动出胶是否正常,,1,1,2018/7/19 20:17
自动点胶机（62）,控制手柄连接是否正常,控制手柄连接是否正常,,1,1,2018/7/19 20:17
自动打包机(29),裁刀是否锋利,裁刀是否锋利,,1,1,2018/7/19 20:17
自动打包机(29),打包时有无经常卡带,打包时有无经常卡带,,1,1,2018/7/19 20:17
自动打包机(29),机器各部开关是否灵活,机器各部开关是否灵活,,1,1,2018/7/19 20:17
自动打包机(29),机器外观是否干净,机器外观是否干净,,1,1,2018/7/19 20:17
自动打包机(29),排气扇是否正常,排气扇是否正常,,1,1,2018/7/19 20:17
自动打包机(29),烫嘴温度是否正常,烫嘴温度是否正常,,1,1,2018/7/19 20:17
紫外干燥箱（47,电源开关是否灵活,电源开关是否灵活,,1,1,2018/7/19 20:17
紫外干燥箱（47,机器外观是否干净,机器外观是否干净,,1,1,2018/7/19 20:17
紫外干燥箱（47,机箱内是否干净,机箱内是否干净,,1,1,2018/7/19 20:17
紫外干燥箱（47,计时器显示是否正常,计时器显示是否正常,,1,1,2018/7/19 20:17
紫外干燥箱（47,门拉手是否灵活,门拉手是否灵活,,1,1,2018/7/19 20:17
紫外干燥箱（47,排气扇是否正常,排气扇是否正常,,1,1,2018/7/19 20:17
紫外干燥箱（47,温度显示器显示是否正常,温度显示器显示是否正常,,1,1,2018/7/19 20:17
准直器半自动调节系统(57) A2,参数值记录,参数值记录,,1,1,2018/7/19 20:17
准直器半自动调节系统(57) A2,参数值是否在规格内,参数值是否在规格内,,1,1,2018/7/19 20:17
准直器半自动调节系统(57) A2,检查机器平台是否平衡无摇晃,检查机器平台是否平衡无摇晃,,1,1,2018/7/19 20:17
准直器半自动调节系统(57) A2,检查机器外观是否干净,检查机器外观是否干净,,1,1,2018/7/19 20:17
准直器半自动调节系统(57) A2,检查气压表在气压在范围内:0.3Mpa~0.6Mpa,检查气压表在气压在范围内:0.3Mpa~0.6Mpa,,1,1,2018/7/19 20:17
准直器半自动调节系统(57) A2,检查在点胶机，针头是否能正常出胶,检查在点胶机，针头是否能正常出胶,,1,1,2018/7/19 20:17
准直器半自动调节系统(57) A2,软件打开后，按下复位开关，电机是否能正常复位,软件打开后，按下复位开关，电机是否能正常复位,,1,1,2018/7/19 20:17
中心加压研磨机（03）,机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
中心加压研磨机（03）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
中心加压研磨机（03）,时间继电器及计数器是否正常,时间继电器及计数器是否正常,,1,1,2018/7/19 20:17
中心加压研磨机（03）,调速开关是否正常，风扇是否正常运转,调速开关是否正常，风扇是否正常运转,,1,1,2018/7/19 20:17
中心加压研磨机（03）,压力杆及压力锤调节是否顺畅,压力杆及压力锤调节是否顺畅,,1,1,2018/7/19 20:17
